,p,Norm,fastclime,TIGER
0,100,Frobenius,29.280000000000001,4.9299999999999997
1,100,Infinity,23.91,2.3900000000000001
2,100,L2,10.970000000000001,1.3700000000000001
3,200,Frobenius,33.509999999999998,6.7800000000000002
4,200,Infinity,23.350000000000001,3.0800000000000001
5,200,L2,12.119999999999999,1.3500000000000001
6,300,Frobenius,85.349999999999994,7.9299999999999997
7,300,Infinity,50.090000000000003,2.9100000000000001
8,300,L2,46.68,1.26
9,400,Frobenius,73.230000000000004,9.8100000000000005
10,400,Infinity,31.32,3.4199999999999999
11,400,L2,24.420000000000002,1.5700000000000001
